Player,Deck,Rank
David Dunham,Dimir Excruciator,321
Edgar Luna,Izzet Lessons,322
William Grogan,Mono-Green Landfall,323
Andrew Skorik,Boros Dragons,324
ScoB23,Izzet Spellementals,325
Dustin Kelley,Mono-Green Landfall,326
Raymond Perez,Dimir Control,327
Max Laakso,Izzet Elementals,328
Jonathan Hsu,Azorius Tempo,329
Robert Taylor,Gruul Landfall,330
gilfordvj,Bant Airbending,331
Philips Nguyen,Izzet Spellementals,332
Dessert902,Azorius Tempo,333
Travis Canyock,Jeskai Control,334
Frank K,Azorius Control,335
amiracles88,Dimir Midrange,336
Jack Kampf,Mono-Green Landfall,337
Lahn7155,Selesnya Landfall,338
Triskaidekaphile,Simic Rhythm,339
Aaron Kaufman-Haft,Izzet Lessons,340
BenFischer,Simic Landfall,341
Matthew Watts,Mono-Red Aggro,342
Chadi Rachid,Jeskai Control,343
SunflowerVampire,Gruul Landfall,344
Dominic Stryker,Izzet Prowess,345
Eric Doyle,Izzet Spellementals,346
Eric Hennig,Bant Airbending,347
Alex Strange,Dimir Excruciator,348
Brantley Lockwood,Izzet Prowess,349
Xander Naumenko,Azorius Tempo,350
Kougadm,Mono-Green Landfalls,351
Corey Anderson,Izzet Prowess,352
Jeffrey Zhang,Dimir Control,353
AleS46,Izzet Prowess,354
Jason Dishong,Mono-Green Landfall,355
JimW9,Bant Airbending,356
Nicole Dubin,Simic Rhythm,357
Jake Slupecki,Dimir Excruciator,358
Irishpotato__,Sultai Rhythm,359
Curtis Eslami,Simic Rhythm,360
njkong,Azorius Tempo,361
jdotmonte,Azorius Tempo,362
Sean Zhou,Mono-Green Landfall,363
Peter Pawelski,Azorius Tempo,364
Nicole Tipple,Dimir Excruciator,365
RkTheChosenOne,Mono-Red Aggro,366
Cole Robinson,Four-Color Rhythm,367
Gerrick Alford,Izzet Lessons,368
DannyM,Dimir Excruciator,369
Minh Nguyen,Dimir Excruciator,370
Vorticose63,Izzet Elementals,371
Kyle Gonzales,Dimir Excruciator,372
Chandler Moreland,Dimir Midrange,373
Rob Moss,Izzet Spellementals,374
Johann Ayala Serrano,Dimir Midrange,375
TylerRasys,Simic Rhythm,376
Chris King,Rakdos Monument,377
DyslixecTurtle,Boros Dragons,378
Will Lowry,Selesnya Rhythm,379
Rob Carson,Boros Dragons,380
Alden Cates,Izzet Lessons,381
Mark Zmolek,Boros Dragons,382
Kazi Baker,Bant Airbending,383
Lorenzo Rivas,Mono-Black Midrange,384
Micah Workman,Dimir Midrange,385
Ryan Kenvin,Dimir Midrange,386
DavG61,Sultai Elementals,387
st3amkin,Mono-Green Landfall,388
Taylor Laehn,Mono-Green Landfall,389
Nicholas Boyer,Rakdos Monument,390
Dan Schriever,Simic Landfall,391
drezha daniels,Dimir Midrange,392
Lunafear,Mono-Green Landfall,393
Joshua Hougland,Dimir Midrange,394
Amaz,Mono-Green Landfall,395
Nicholas Werner,Izzet Prowess,396
Kyle Reichard,Temur Harmonizer,397
doejurko,Bant Airbending,398
LoganHesch,Bant Airbending,399
Eric Shoopman,Gruul Landfall,400
Josh Good,Izzet Lessons,401
Richard Girges,Azorius Control,402
TimCambre,Dimir Midrange,403
ricky linn,Izzet Lessons,404
Bobbi Jo Midkiff,Dimir Midrange,405
Konohakitsune,Izzet Lessons,406
Timdood,Izzet Spellementals,407
GregM,Simic Rhythm,408
Chase Stalsberg,Jeskai Control,409
bigboi54,Izzet Lessons,410
Joseph Gearlds,Dimir Excruciator,411
Daniel Barkon,Gruul Landfall,412
AJ Byrkett,Izzet Prowess,413
Chad Kay,Izzet Lessons,414
Donald Tyson,Simic Rhythm,415
Nick Granered,Four-Color Control,416
Carson Wolf,Four-Color Rhythm,417
Tom Strong,Izzet Lessons,418
David Kerrigan,Simic Rhythm,419
JacobSmith1,Sultai Reanimator,420
Tyggz,Izzet Blink,421
Brandon Phan,Dimir Midrange,422
Matthew Loukides,Bant Omniscience,423
Sirtex00,Sultai Reanimator,424
Jake Coenen,Izzet Lessons,425
Joe Doyle,Rakdos Aggro,426
Manny Bello,Izzet Lessons,427
Cade Stinson,Dimir Excruciator,428
Joe Leo,Izzet Spellementals,429
Cole Weinstein,Izzet Spellementals,430
Scott Schaefer,Izzet Lessons,431
Sam Zakrzewski,Sultai Reanimator,432
Logan Boone,Izzet Elementals,433
Griffin Berschauer,Simic Rhythm,434
Harper Wilson,Boros Dragons,435
Sam Clayton,Dimir Midrange,436
Kenoa06,Temur Rhythm,437
Chromehound8,Sultai Rhythm,438
pcshannon27,Boros Dragons,439
Benjamin Cohen,Azorius Tempo,440
Josh Glantzman,Izzet Lessons,441
NSingman,Simic Rhythm,442
Grace Levy,Azorius Tempo,443
Daniel Miller,Izzet Lessons,444
Josh Moscoe,Temur Harmonizer,445
Eric English,Dimir Excruciator,446
Rebecca Hunter,Izzet Elementals,447
inbirth,Dimir Excruciator,448
John Mayes,Mono-Green Landfall,449
Johnathan Goanos,Izzet Elementals,450
Benjamin  Taylor,Temur Harmonizer,451
Matt Engelbart,Azorius Tempo,452
Andrew Kach,Dimir Excruciator,453
Andywitt,Dimir Midrange,454
Aiden Lamson,Simic Rhythm,455
Ron Eldred,Dimir Midrange,456
MajicMiranda,Dimir Midrange,457
Bryan Hohns,Dimir Midrange,458
Shaye Riano,Mono-Red Leyline,459
Avi Grinberg,Simic Rhythm,460
Adare Foster,Izzet Blink,461
Ari Jones,Mono-Green Landfall,462
Larry Coleman,Simic Rhythm,463
caleb durward,Dimir Midrange,464
SykeE,Sultai Rhythm,465
Darren Rucker,Azorius Tempo,466
Tim Larson,Simic Rhythm,467
Nolan Chaney,Azorius Tempo,468
Alexander Javed,Jeskai Artifacts,469
Bob Martin,Grixis Reanimator,470
Brendan Atkinson,Boros Dragons,471
aleckhan,Izzet Lessons,472
Alaw19,Izzet Spellementals,473
Hunter Curtis,Dimir Midrange,474
Charles Eiler,Azorius Control,475
CarsonPeske,Azorius Tempo,476
Tayen Owens,Izzet Looting,477
Luna Eason,Izzet Lessons,478
Michael Nolan,Temur Harmonizer,479
Joshua Fulger,Bant Airbending,480
samzin,Dimir Midrange,481
Pete Bate,Grixis Elementals,482
Connor Donnelly,Azorius Tempo,483
Adam Eklund,Jeskai Control,484
Daniel Forster,Simic Rhythm,485
MatR90,Dimir Excruciator,486
Alex New,Izzet Elementals,487
Wesley Wang,Azorius Tempo,488
Mac Blanchard,Izzet Spellementals,489
Carlos Orengo,Izzet Spellementals,490
Chris Dexter,Mono-Green Landfall,491
Dinonolan,Sultai Reanimator,492
Dylan Liebert,Simic Rhythm,493
Adam Lappin,Izzet Lessons,494
Garrett Askin,Sultai Rhythm,495
JustinKame,Azorius Tempo,496
L Anselmi,Azorius Tempo,497
Jau-En Shih,Boros Dragons,498
Daniel Orwig,Azorius Aggro,499
Cael Lindsey,Jeskai Control,500
Mtgdrip,Four-Color Control,501
Gabriel Balannik,Izzet Lessons,502
Joshua Leger,Mono-Green Landfall,503
Brad Phyrexian,Temur Cauldron,504
