Round,Table,Players,Decks,Winner
Round 2,10,"superbainer He/Him
ValentineW He/Him","Jeskai Control
Dimir Midrange",ValentineW won 2-1-0
Round 2,11,"Brian Wong He/Him
Nemanja Karadzic","Azorius Tempo
Mono-Green Landfall",Nemanja Karadzic won 2-0-0
Round 2,12,"James Lloyd
SashaFarenyuk He/Him","Izzet Spellementals
Simic Rhythm",James Lloyd won 2-1-0
Round 2,13,"HyacintheK
Winnie Bowser She/Her","Mono-Green Landfall
Simic Ouroboroid",Winnie Bowser won 2-1-0
Round 2,14,"Mel Woods They/Them
Ryan Primdahl He/Him","W-U-B-R-G Allies
Izzet Prowess",Ryan Primdahl won 2-1-0
Round 2,15,"Draven Jolicoeur He/Him
Brian Ly","Sultai Reanimator
Sultai Reanimator",Brian Ly won 2-0-0
Round 2,16,"Mason Wong He/Him
TehscrubblyMTG","Izzet Spellementals
Azorius Tempo",Mason Wong won 2-1-0
Round 2,17,"Michael Knie
David Schnayer He/Him","Temur Omniscience
Izzet Elementals",Michael Knie won 2-1-0
Round 2,18,"Steven Miclette He/They
JJazokas","Jeskai Midrange
Jeskai Control",Steven Miclette won 2-1-0
Round 2,19,"Linden Koot He/Him
Matthew Stefans","Dimir Bounce
Mono-Green Landfall",Matthew Stefans won 2-1-0
Round 2,20,"Andy Peters He/Him
Dominic Harvey He/Him","Izzet Lessons
Izzet Lessons",Andy Peters won 2-0-0
Round 2,21,"Nick Newburg
Avery Shoemaker","Dimir Demons
Simic Rhythm",Avery Shoemaker won 2-0-0
Round 2,22,"danielooo He/Him
Carson Ziegler He/Him","Mono-Green Landfall
Izzet Lessons",danielooo won 2-1-0
Round 2,23,"Jack Potter He/Him
Olive Reed She/Her","Simic Ouroboroid
Dimir Midrange",Olive Reed won 2-1-0
Round 2,24,"Alexandre Livernoche He/Him
Alex Aitken He/Him","Boros Dragons
Temur Prowess",Alexandre Livernoche won 2-1-0
Round 2,25,"keithcapstick
Brian Thai","Mono-Green Landfall
Dimir Midrange",keithcapstick won 2-1-0
Round 2,26,"Boston Schatteman He/Him
Anthony Soon","Izzet Prowess
Dimir Doomsday",Anthony Soon won 2-0-0
Round 2,27,"Chris Yao
privacybydefault","Temur Landfall
Mono-Red Aggro",Chris Yao won 2-1-0
Round 2,28,"outskip
Tate Smith He/They","Simic Midrange
Dimir Midrange",1-1-0 Draw
Round 2,29,"Randall Litman
quinn pollock She/Her","Izzet Spellementals
W-U-B-R Midrange",Randall Litman won 2-1-0
Round 2,30,"Tyler Simon
Rob Stach","Izzet Prowess
Izzet Spellementals",Tyler Simon won 2-1-0
Round 2,31,"Jonathan Delos Trinos
Willam He/Him","Temur Landfall
Mono-Green Landfall",Jonathan Delos Trinos won 2-1-0
Round 2,32,"Rin Porter She/They
Synaru","Izzet Elementals
Mono-Green Landfall",Rin Porter won 2-1-0
Round 2,33,"YarrMorgan He/Him
Zoza","Rakdos Monument
Mono-Green Landfall",Zoza won 2-0-0
Round 2,34,"Simone Maletto He/Him
Kevin Besta He/Him","Sultai Ouroboroid
Izzet Prowess",Simone Maletto won 2-1-0
Round 2,35,"Terrence Johnstone He/Him
Andrea Smith She/Her","Rakdos Monument
Mono-Green Landfall",Terrence Johnstone won 2-1-0
Round 2,36,"BraB85
BiGPHiL He/Him","5C Rhythm
Simic Combo",BraB85 won 2-1-0
Round 2,37,"Jonathan Richardson
yizl1","Jeskai Control
Izzet Lessons",yizl1 won 2-0-0
Round 2,38,"GordonTonner
Kevin Anctil He/Him","Mono-Green Landfall
Mono-Green Landfall",Kevin Anctil won 2-0-0
Round 2,39,"Steven Fiebelkorn He/Him
Edgar Magalhaes","Izzet Prowess
Dimir Control",1-1-0 Draw
Round 2,40,"DevW1
TommyG09","Dimir Midrange
Izzet Blink",TommyG09 won 2-1-0
Round 2,41,"Phillip Hurst He/Him
Elliot Fortier He/They","Dimir Demons
Mono-Green Landfall",Elliot Fortier won 2-1-0
Round 2,42,"Jonah Fox
EllieThePurple She/Her","Dimir Demons
Jeskai Control",EllieThePurple won 2-1-0
Round 2,43,"Burke Horst He/Him
Bryce Hawkins He/They","Mono-Green Landfall
Izzet Lessons",Burke Horst won 2-1-0
Round 2,44,"Jonathan_Hsu He/Him
EriW28","Bant Airbending
U-B-R-G Reanimator",Jonathan_Hsu won 2-1-0
Round 2,45,"awilliams999
Spencer Shaw Jaworek He/Him","Izzet Spellementals
Jeskai Control",Spencer Shaw Jaworek won 2-1-0
Round 2,46,"NicH He/Him
AlexMacIsaac He/Him","Jeskai Control
U-B-R-G Prowess",AlexMacIsaac won 2-1-0
Round 2,47,"Arun Jolly Marlier He/Him
Delamar Singh","Dimir Demons
Boros Dragons",Delamar Singh won 2-1-0
Round 2,48,"Sugar Shane
TJ Kimmie He/Him","Mono-Black Demons
Jeskai Control",1-1-0 Draw
Round 2,49,"erwinli He/Him
Jason Clark He/Him","Boros Dragons
Dimir Demons",Jason Clark won 2-0-0
Round 2,50,"Tom Cairns
HappySandwich He/Him","W-U-R-G Control
Mono-Green Landfall",HappySandwich won 2-1-0
Round 2,51,"Gavin Bennett He/Him
Brian Bonnell He/Him","W-U-B-R Control
Izzet Elementals",Brian Bonnell won 2-1-0
Round 2,52,"Kyle Gellert He/Him
MicO3","Jeskai Lessons
Izzet Elementals",Kyle Gellert won 2-1-0
Round 2,53,"EdeS She/Her
Kyle Miller He/Him","Mono-Green Aggro
Izzet Elementals",EdeS won 2-1-0
Round 2,54,"Davey Noble He/Him
NathanielK They/Them","Izzet Spellementals
Izzet Lessons",Davey Noble won 2-1-0
Round 2,55,"ShandroMcassey
jordyyyy He/Him","Dimir Midrange
Izzet Spellementals",ShandroMcassey won 2-0-0
