Round,Table,Players,Decks,Winner
Round 3,43,"MarcoDanielR RodriguezPerez He/Him
Alberto BoLivar","Dimir Tempo
Dimir Airbending",MarcoDanielR RodriguezPerez won 2-0-0
Round 3,44,"RicP7 He/Him
Newbiemx He/Him","Jeskai Control
Mono-Green Dragons",Newbiemx won 2-0-0
Round 3,45,"Eltatay
hcdxr","Temur Otters
Dimir Excruciator",Eltatay won 2-1-0
Round 3,46,"The_Palolo He/Him
Javier Castellan He/Him","Dimir
Bant Airbending",The_Palolo won 2-0-0
Round 3,47,"ISACC1K2
Pablo Mendez He/Him","Mono-Green Landfall
Jeskai Control",ISACC1K2 won 2-1-0
Round 3,48,"BerB8 He/Him
AmethMoran","Dimir Midrange
Temur Prowess",BerB8 won 2-0-0
Round 3,49,"Jahmm1024 He/Him
Soulgreen He/Him","Temur Prowess
Simic Ouroboroid",Jahmm1024 won 2-0-0
Round 3,50,"jnsrjzgo He/Him
Kevzal He/Him","Simic Ouroboroid
Izzet",jnsrjzgo won 2-0-0
Round 3,51,"ANTONIO GUZMAN VAZQUEZ He/Him
Luis Felipe Sanchez Cuevas He/Him","Mono-Green
Simic Rhythm",Luis Felipe Sanchez Cuevas won 2-0-0
Round 3,52,"IsaiasCantu
SebastianOlivares He/Him","Azorius Tempo
Dimir Control",SebastianOlivares won 2-1-0
Round 3,53,"Daniel Garcia He/Him
Thressen They/Them","Dimir Excruciator
Mono-Green Landfall",Daniel Garcia won 2-1-0
Round 3,54,"EddyMares He/Him
Ivan Oro He/Him","Bant Combo
Temur Aggro",EddyMares won 2-0-0
Round 3,55,"qzwdw
BERNABE PEREZ POPOCATL He/Him","Temur Prowess
Dimir Midrange",qzwdw won 2-0-0
Round 3,56,"ErickPat
Julio Cesar Tadeo Jacinto","Dimir Tempo
Mono-Black Midrange",Julio Cesar Tadeo Jacinto won 2-1-0
Round 3,57,"ELLIN He/Him
Aram Madriz A He/Him","Izzet Spellementals
Azorius Aggro",Aram Madriz A won 2-1-0
Round 3,58,"Arleni
Archibal Raziel Sánchez Peralta He/Him","Azorius Tempo
Mono-Green Control",Archibal Raziel Sánchez Peralta won 2-0-0
Round 3,59,"reacklml
Tyvant They/Them","Temur Prowess
Boros Dragons",Tyvant won 2-1-0
Round 3,60,"Rodolfo Juarez
ubwly","Dimir Control
Izzet Lessons",ubwly won 2-1-0
Round 3,61,"FernandoGosch
MarC101","Temur Prowess
Rakdos Monument",MarC101 won 2-1-0
Round 3,62,"Jesús Solano He/Him
Marcelo Cruz","Mono-Green
Mono-Green Harmonizer",Jesús Solano won 2-0-0
Round 3,63,"LiDurden He/Him
cfbba","Dimir Excruciator
Izzet Control",cfbba won 2-0-0
Round 3,64,"cah He/Him
Luis Mondragón","W-U-R-G Combo
Rakdos Monument",cah won 2-1-0
Round 3,65,"victor perez He/Him
Jairo04","Mono-Red Aggro
Azorius Control",victor perez won 2-1-0
Round 3,66,"Daniel Rodriguez He/Him
MConchitaFr","Azorius Midrange
Jeskai Control",1-1-0 Draw
Round 3,67,"RafZ1 He/Him
Marlon Jacob Avila Gutierrez He/Him","Mono-White Control
Dimir Midrange",Marlon Jacob Avila Gutierrez won 2-0-0
Round 3,68,"xmkaj
GeekRanor","Izzet Lessons
Golgari Midrange",GeekRanor won 2-0-0
Round 3,69,"VicM27 He/Him
-Legol4s-","Naya
Sultai Reanimator",1-1-0 Draw
Round 3,70,"Jeff2998 He/Him
Cristian Ponce","Izzet Elementals
Simic Rhythm",Cristian Ponce won 2-1-0
Round 3,71,"Sebastian Senshi Quintana
angfe He/Him","Simic Rhythm
Izzet Lessons",angfe won 2-1-0
Round 3,72,"Tavo110506 He/Him
Javier Legaspi","Izzet
Temur Prowess",Javier Legaspi won 2-1-0
Round 3,73,"Ivan Cortes
Alexander Rosales He/Him","Izzet Spellementals
Simic Rhythm",Alexander Rosales won 2-1-0
Round 3,74,"Phantasmos
RafaelPerez He/Him","Mono-Green Aggro
Dimir Aggro",Phantasmos won 2-0-0
Round 3,75,"DrBrand He/Him
DannLemmon He/Him","Boros Dragons
Izzet Spellementals",DrBrand won 2-0-0
Round 3,76,"ELWICHOPATO
vikoalex","Esper Control
Jeskai Control",ELWICHOPATO won 2-1-0
Round 3,77,"kzeoq
Cesar Hernandez He/Him","Mono-Green Landfall
Temur Prowess",Cesar Hernandez won 2-0-0
Round 3,78,"Gurgehmorat
AAmaya","Gruul Delirium
Abzan Midrange",AAmaya won 2-0-0
Round 3,79,"WilliamEliz He/Him
mtgborre","Mono-Green Harmonizer
Gruul Harmonizer",WilliamEliz won 2-1-0
Round 3,80,"Mortis
aaoft","U-B-R-G Reanimator
Dimir Combo",Mortis won 2-0-0
Round 3,81,"Arkstok
Bruno Ramírez de Arellano García He/Him","Mono-Black Demons
Gruul Delirium",1-1-0 Draw
Round 3,82,"Dalibor Trnka He/Him
franck7 He/Him","Izzet Lessons
Selesnya Landfall",franck7 won 2-0-0
Round 3,83,"AaronAngeles
Victor Maya","Temur Aggro
Izzet Lessons",Victor Maya won 2-0-0
Round 3,84,"MiguelValdez
RafaelMan He/Him","Dimir Midrange
U-B-R-G Elementals",RafaelMan won 2-1-0
Round 3,85,"Paper_Mario He/Him
toxic0 He/Him","Azorius
Dimir Control",Paper_Mario won 2-1-0
Round 3,86,"RODRIGO SAN JUAN He/Him
Ismaelisassi97 He/Him","Dimir Combo
U-B-R-G Elementals",Ismaelisassi97 won 2-0-0
Round 3,87,"Frade He/Him
Alexis García He/Him","Azorius Tempo
Temur Prowess",Alexis García won 2-0-0
Round 3,88,"sxhcz He/Him
Downpour","Jeskai Artifacts
Dimir Control",Downpour won 2-0-0
Round 3,89,"Enyal2218 He/Him
JoseCed","Dimir Midrange
Izzet Lessons",Enyal2218 won 2-1-0
Round 4,1,"Ericksson Moran He/Him
1ittleYoshi He/Him","Boros Aggro
Izzet Monument",Ericksson Moran won 2-1-0
Round 4,2,"Edgar Emmanuel Rangel Páez He/Him
Alejandro Pereira He/Him","Dimir Excruciator
Temur Combo",Edgar Emmanuel Rangel Páez won 2-1-0
Round 4,3,"Allan Ayapan
Carlos Martinez He/Him","Mono-Green Aggro
Dimir Midrange",Carlos Martinez won 2-1-0
Round 4,4,"Rod3
Jorge Lopez He/Him","Simic Ouroboroid
Mono-Green Landfall",Jorge Lopez won 2-1-0
Round 4,5,"Mario Alejandro Flores Silva He/Him
Paul Villalobos","Dimir Tempo
Azorius Tempo",Mario Alejandro Flores Silva won 2-0-0
Round 4,6,"Hermilo Flores Davila He/Him
Ivan Saenz He/Him","Temur Aggro
Mono-Green",Ivan Saenz won 2-0-0
Round 4,7,"GermanBA He/Him
Julio Potes He/Him","Temur Prowess
Izzet Lessons",GermanBA won 2-1-0
Round 4,8,"Romeo Aaron Cameras Lievano He/Him
Ivan Martinez He/Him","Temur Aggro
Simic Ouroboroid",Ivan Martinez won 2-0-0
Round 4,9,"Carlo Alan Chávez García He/Him
Isabel She/Her","Jeskai Control
Jeskai Control",Isabel won 2-1-0
Round 4,10,"vbostereo He/Him
Furiax","Bant Combo
Bant Airbending",vbostereo won 2-0-0
Round 4,11,"Smedina He/Him
JorgeSolis He/Him","Temur Aggro
Dimir Midrange",JorgeSolis won 2-0-0
Round 4,12,"Rainman Sian He/Him
yhsxu","Dimir Midrange
Grixis Elementals",Rainman Sian won 2-1-0
Round 4,13,"Julio Rivera He/Him
LuisAlex","Dimir Tempo
Esper Tempo",Julio Rivera won 2-0-0
Round 4,14,"Ricardo Landeta He/Him
Eltatay","Mono-Green Landfall
Temur Otters",Ricardo Landeta won 2-0-0
Round 4,15,"ubwly
Juanmi Sierra","Izzet Lessons
Izzet Midrange",Juanmi Sierra won 2-0-0
Round 4,16,"VictorCastillo He/Him
Osmalocu He/Him","U-B-R-G Reanimator
Mono-Green Aggro",Osmalocu won 2-0-0
Round 4,17,"Pablo Duque He/Him
Toscano","Dimir Excruciator
Dimir Midrange",Pablo Duque won 2-0-0
Round 4,18,"Gamma1001
Dagoberto Silva He/Him","Dimir Midrange
Izzet Lessons",Dagoberto Silva won 2-1-0
Round 4,19,"Dikson Avila Rojas
Valeria Aguilar She/Her","Mono-White
Mono-Green Landfall",Dikson Avila Rojas won 2-1-0
Round 4,20,"MarC101
MarN38","Rakdos Monument
Simic Tempo",MarN38 won 2-0-0
Round 4,21,"Juan Carlos Servin Gomez He/Him
fernandojjo He/Him","Izzet Elementals
Temur Tempo",Juan Carlos Servin Gomez won 2-1-0
Round 4,22,"Roberto Luna He/Him
cesar israel gomez jacome","Jeskai Control
Izzet Lessons",cesar israel gomez jacome won 2-1-0
Round 4,23,"BarbaLaLeyenda
SebastianOlivares He/Him","Mono-Green Landfall
Dimir Control",BarbaLaLeyenda won 2-1-0
Round 4,24,"The_Palolo He/Him
Pedro Bermudez","Dimir
Mono-Green Landfall",Pedro Bermudez won 2-0-0
Round 4,25,"cfbba
alex_santos He/Him","Izzet Control
Dimir Midrange",alex_santos won 2-1-0
Round 4,26,"Tlacaelel Jimenez They/Them
qzwdw","Grixis
Temur Prowess",qzwdw won 2-0-0
Round 4,27,"Tyvant They/Them
Drecko","Boros Dragons
Simic Aggro",Tyvant won 2-0-0
Round 4,28,"Jesús Solano He/Him
Vi_Rap He/Him","Mono-Green
Azorius Flash",Jesús Solano won 2-1-0
Round 4,29,"Master_Fer He/Him
Joaquinrobertosotocastillo He/Him","Mono-Green Combo
Simic Rhythm",Joaquinrobertosotocastillo won 2-1-0
Round 4,30,"Erick Manuel Lopez Basulto He/Him
Newbiemx He/Him","Temur Combo
Mono-Green Dragons",Erick Manuel Lopez Basulto won 2-1-0
Round 4,31,"BerB8 He/Him
Julio Cesar Soto He/Him","Dimir Midrange
Dimir Midrange",Julio Cesar Soto won 2-0-0
Round 4,32,"Jahmm1024 He/Him
MarcoDanielR RodriguezPerez He/Him","Temur Prowess
Dimir Tempo",MarcoDanielR RodriguezPerez won 2-0-0
Round 4,33,"Archibal Raziel Sánchez Peralta He/Him
Limit He/Him","Mono-Green Control
Izzet",Archibal Raziel Sánchez Peralta won 2-0-0
Round 4,34,"Vynz He/Him
ficdu","Dimir
Dimir Midrange",ficdu won 2-0-0
Round 4,35,"Aram Madriz A He/Him
Vicro He/Him","Azorius Aggro
Mono-Green Landfall",Aram Madriz A won 2-1-0
Round 4,36,"EddyMares He/Him
ISACC1K2","Bant Combo
Mono-Green Landfall",EddyMares won 2-0-0
Round 4,37,"Burger He/Him
jnsrjzgo He/Him","Temur Midrange
Simic Ouroboroid",jnsrjzgo won 2-0-0
Round 4,38,"PedroM6744 He/Him
cah He/Him","Mono-Green Landfall
W-U-R-G Combo",PedroM6744 won 2-1-0
Round 4,39,"Marcelino Freeman Other
Jojo-Torres","Boros Midrange
Bant Airbending",Jojo-Torres won 2-0-0
Round 4,40,"Julio Cesar Tadeo Jacinto
Brian Lopez He/They","Mono-Black Midrange
Bant Combo",Brian Lopez won 2-1-0
Round 4,41,"Luis Felipe Sanchez Cuevas He/Him
Daniel Garcia He/Him","Simic Rhythm
Dimir Excruciator",Luis Felipe Sanchez Cuevas won 2-0-0
Round 4,42,"Xray
JosueMartil456 He/Him","Mono-Red Aggro
Dimir Excruciator",JosueMartil456 won 2-1-0
Round 4,43,"Daniel Alvarez He/Him
GeekRanor","Bant Omniscience
Golgari Midrange",Daniel Alvarez won 2-0-0
Round 4,44,"MTijerina97 He/Him
Cristian Ponce","Jeskai Control
Simic Rhythm",1-1-0 Draw
Round 4,45,"Eduardo Castillo He/Him
José Eduardo Gordillo Cardona He/Him","Mono-Green Landfall
Dimir Excruciator",José Eduardo Gordillo Cardona won 2-1-0
Round 4,46,"Marlon Jacob Avila Gutierrez He/Him
Rolando Mendez Aguilar He/Him","Dimir Midrange
Dimir Excruciator",Marlon Jacob Avila Gutierrez won 2-1-0
Round 4,47,"victor perez He/Him
Downpour","Mono-Red Aggro
Dimir Control",victor perez won 2-0-0
Round 4,48,"RicardoV
Alejandro Winkler He/Him","Gruul Ouroboroid
Izzet Lessons",Alejandro Winkler won 2-1-0
Round 4,49,"Dannog
IsaiasCantu","Izzet Control
Azorius Tempo",IsaiasCantu won 2-0-0
Round 4,50,"Kevzal He/Him
Javier Calvo He/Him","Izzet
Azorius Tempo",Javier Calvo won 2-0-0
Round 4,51,"Ismaelisassi97 He/Him
reacklml","U-B-R-G Elementals
Temur Prowess",Ismaelisassi97 won 2-1-0
Round 4,52,"Phantasmos
Cesar Alvarez He/Him","Mono-Green Aggro
Izzet Lessons",Cesar Alvarez won 2-0-0
Round 4,53,"LiDurden He/Him
Charliezard21","Dimir Excruciator
Temur",LiDurden won 2-0-0
Round 4,54,"Luis Mondragón
Alejos12 He/Him","Rakdos Monument
Dimir Flash",Alejos12 won 2-0-0
Round 4,55,"angfe He/Him
DrBrand He/Him","Izzet Lessons
Boros Dragons",angfe won 2-0-0
Round 4,56,"Marcelo Cruz
hcdxr","Mono-Green Harmonizer
Dimir Excruciator",Marcelo Cruz won 2-0-0
Round 4,57,"franck7 He/Him
ErickPat","Selesnya Landfall
Dimir Tempo",franck7 won 2-0-0
Round 4,58,"Soulgreen He/Him
Rodolfo Juarez","Simic Ouroboroid
Dimir Control",Rodolfo Juarez won 2-0-0
Round 4,59,"DaiH He/Him
VallaNico He/Him","Temur Prowess
Temur Prowess",DaiH won 2-0-0
Round 4,60,"Mortis
Angel Geovanni Briones Medina He/Him","U-B-R-G Reanimator
Dimir Reanimator",Angel Geovanni Briones Medina won 2-0-0
Round 4,61,"Paper_Mario He/Him
Victor Maya","Azorius
Izzet Lessons",Paper_Mario won 2-0-0
Round 4,62,"Pablo Mendez He/Him
Alexis García He/Him","Jeskai Control
Temur Prowess",Alexis García won 2-0-0
Round 4,63,"Enyal2218 He/Him
Ivan Oro He/Him","Dimir Midrange
Temur Aggro",Ivan Oro won 2-1-0
Round 4,64,"ELWICHOPATO
AAmaya","Esper Control
Abzan Midrange",ELWICHOPATO won 2-0-0
Round 4,65,"Pablopga He/Him
Raffael11","Esper Midrange
Orzhov Control",Pablopga won 2-0-0
Round 4,66,"Alexander Rosales He/Him
BERNABE PEREZ POPOCATL He/Him","Simic Rhythm
Dimir Midrange",Alexander Rosales won 2-1-0
Round 4,67,"kfbzo
Cesar Hernandez He/Him","Abzan Bounce
Temur Prowess",Cesar Hernandez won 2-1-0
Round 4,68,"Javier Legaspi
RicP7 He/Him","Temur Prowess
Jeskai Control",Javier Legaspi won 2-0-0
Round 4,69,"daniel isaias He/Him
AmethMoran","Dimir Tempo
Temur Prowess",AmethMoran won 2-0-0
Round 4,70,"ELLIN He/Him
Javier Castellan He/Him","Izzet Spellementals
Bant Airbending",Javier Castellan won 2-1-0
Round 4,71,"RafaelMan He/Him
Arleni","U-B-R-G Elementals
Azorius Tempo",RafaelMan won 2-1-0
Round 4,72,"Thressen They/Them
Alberto BoLivar","Mono-Green Landfall
Dimir Airbending",Thressen won 2-1-0
Round 4,73,"DanieerGalvez He/Him
CrimsonRoyal","Azorius Tempo
Esper Midrange",DanieerGalvez won 2-0-0
Round 4,74,"WilliamEliz He/Him
rjjwq","Mono-Green Harmonizer
Jeskai Control",WilliamEliz won 2-0-0
Round 4,75,"FernandoGosch
MConchitaFr","Temur Prowess
Jeskai Control",FernandoGosch won 2-1-0
Round 4,76,"Daniel Rodriguez He/Him
VicM27 He/Him","Azorius Midrange
Naya",VicM27 won 2-0-0
Round 4,77,"-Legol4s-
Jeff2998 He/Him","Sultai Reanimator
Izzet Elementals",Jeff2998 won 2-0-0
Round 4,78,"Arkstok
xmkaj","Mono-Black Demons
Izzet Lessons",xmkaj won 2-0-0
Round 4,79,"RafZ1 He/Him
Bruno Ramírez de Arellano García He/Him","Mono-White Control
Gruul Delirium",Bruno Ramírez de Arellano García won 2-0-0
Round 4,80,"Jairo04
kzeoq","Azorius Control
Mono-Green Landfall",1-1-0 Draw
Round 4,81,"mtgborre
DannLemmon He/Him","Gruul Harmonizer
Izzet Spellementals",mtgborre won 2-1-0
Round 4,82,"Tavo110506 He/Him
Gurgehmorat","Izzet
Gruul Delirium",Tavo110506 won 2-1-0
Round 4,83,"RODRIGO SAN JUAN He/Him
Dalibor Trnka He/Him","Dimir Combo
Izzet Lessons",RODRIGO SAN JUAN won 2-0-0
Round 4,84,"RafaelPerez He/Him
MiguelValdez","Dimir Aggro
Dimir Midrange",MiguelValdez won 2-0-0
Round 4,85,"Sebastian Senshi Quintana
AaronAngeles","Simic Rhythm
Temur Aggro",Sebastian Senshi Quintana won 2-0-0
Round 4,86,"aaoft
toxic0 He/Him","Dimir Combo
Dimir Control",toxic0 won 2-0-0
Round 5,1,"Edgar Emmanuel Rangel Páez He/Him
Ericksson Moran He/Him","Dimir Excruciator
Boros Aggro",Edgar Emmanuel Rangel Páez won 2-1-0
Round 5,2,"Ivan Martinez He/Him
Mario Alejandro Flores Silva He/Him","Simic Ouroboroid
Dimir Tempo",0-0-3 Draw
Round 5,3,"Ivan Saenz He/Him
GermanBA He/Him","Mono-Green
Temur Prowess",GermanBA won 2-0-0
Round 5,4,"vbostereo He/Him
Jorge Lopez He/Him","Bant Combo
Mono-Green Landfall",Jorge Lopez won 2-0-0
Round 5,5,"Carlos Martinez He/Him
Isabel She/Her","Dimir Midrange
Jeskai Control",Carlos Martinez won 2-0-0
Round 5,6,"Rainman Sian He/Him
JorgeSolis He/Him","Dimir Midrange
Dimir Midrange",Rainman Sian won 2-1-0
Round 5,7,"Brian Lopez He/They
Smedina He/Him","Bant Combo
Temur Aggro",Brian Lopez won 2-1-0
Round 5,8,"Tyvant They/Them
MarN38","Boros Dragons
Simic Tempo",Tyvant won 2-0-0
Round 5,9,"PedroM6744 He/Him
Luis Felipe Sanchez Cuevas He/Him","Mono-Green Landfall
Simic Rhythm",Luis Felipe Sanchez Cuevas won 2-0-0
Round 5,10,"qzwdw
Dikson Avila Rojas","Temur Prowess
Mono-White",Dikson Avila Rojas won 2-0-0
Round 5,11,"Juanmi Sierra
Pablo Duque He/Him","Izzet Midrange
Dimir Excruciator",Juanmi Sierra won 2-0-0
Round 5,12,"Pedro Bermudez
EddyMares He/Him","Mono-Green Landfall
Bant Combo",Pedro Bermudez won 2-0-0
Round 5,13,"cesar israel gomez jacome
alex_santos He/Him","Izzet Lessons
Dimir Midrange",cesar israel gomez jacome won 2-1-0
Round 5,14,"MarcoDanielR RodriguezPerez He/Him
Paul Villalobos","Dimir Tempo
Azorius Tempo",MarcoDanielR RodriguezPerez won 2-1-0
Round 5,15,"Archibal Raziel Sánchez Peralta He/Him
Romeo Aaron Cameras Lievano He/Him","Mono-Green Control
Temur Aggro",Archibal Raziel Sánchez Peralta won 2-1-0
Round 5,16,"Joaquinrobertosotocastillo He/Him
BarbaLaLeyenda","Simic Rhythm
Mono-Green Landfall",BarbaLaLeyenda won 2-1-0
Round 5,17,"Carlo Alan Chávez García He/Him
Aram Madriz A He/Him","Jeskai Control
Azorius Aggro",Carlo Alan Chávez García won 2-1-0
Round 5,18,"Rod3
Furiax","Simic Ouroboroid
Bant Airbending",1-1-0 Draw
Round 5,19,"Julio Cesar Soto He/Him
Osmalocu He/Him","Dimir Midrange
Mono-Green Aggro",Julio Cesar Soto won 2-0-0
Round 5,20,"Erick Manuel Lopez Basulto He/Him
Allan Ayapan","Temur Combo
Mono-Green Aggro",Allan Ayapan won 2-1-0
Round 5,21,"Juan Carlos Servin Gomez He/Him
Alejandro Pereira He/Him","Izzet Elementals
Temur Combo",Juan Carlos Servin Gomez won 2-0-0
Round 5,22,"Dagoberto Silva He/Him
jnsrjzgo He/Him","Izzet Lessons
Simic Ouroboroid",Dagoberto Silva won 2-1-0
Round 5,23,"Hermilo Flores Davila He/Him
ficdu","Temur Aggro
Dimir Midrange",Hermilo Flores Davila won 2-1-0
Round 5,24,"Julio Potes He/Him
JosueMartil456 He/Him","Izzet Lessons
Dimir Excruciator",JosueMartil456 won 2-0-0
Round 5,25,"1ittleYoshi He/Him
Jesús Solano He/Him","Izzet Monument
Mono-Green",Jesús Solano won 2-0-0
Round 5,26,"Jojo-Torres
Julio Rivera He/Him","Bant Airbending
Dimir Tempo",Jojo-Torres won 2-0-0
Round 5,27,"Ricardo Landeta He/Him
Marlon Jacob Avila Gutierrez He/Him","Mono-Green Landfall
Dimir Midrange",Ricardo Landeta won 2-1-0
Round 5,28,"yhsxu
José Eduardo Gordillo Cardona He/Him","Grixis Elementals
Dimir Excruciator",José Eduardo Gordillo Cardona won 2-1-0
Round 5,29,"victor perez He/Him
Daniel Alvarez He/Him","Mono-Red Aggro
Bant Omniscience",Daniel Alvarez won 2-1-0
Round 5,30,"Vynz He/Him
Cesar Alvarez He/Him","Dimir
Izzet Lessons",Vynz won 2-1-0
Round 5,31,"Toscano
VictorCastillo He/Him","Dimir Midrange
U-B-R-G Reanimator",Toscano won 2-0-0
Round 5,32,"Ismaelisassi97 He/Him
Roberto Luna He/Him","U-B-R-G Elementals
Jeskai Control",Ismaelisassi97 won 2-1-0
Round 5,33,"Daniel Garcia He/Him
Burger He/Him","Dimir Excruciator
Temur Midrange",Burger won 2-1-0
Round 5,34,"DanieerGalvez He/Him
Alexis García He/Him","Azorius Tempo
Temur Prowess",DanieerGalvez won 2-1-0
Round 5,35,"LuisAlex
Cesar Hernandez He/Him","Esper Tempo
Temur Prowess",LuisAlex won 2-1-0
Round 5,36,"BerB8 He/Him
cfbba","Dimir Midrange
Izzet Control",BerB8 won 2-0-0
Round 5,37,"Jahmm1024 He/Him
Newbiemx He/Him","Temur Prowess
Mono-Green Dragons",Jahmm1024 won 2-1-0
Round 5,38,"Ivan Oro He/Him
Limit He/Him","Temur Aggro
Izzet",Limit won 2-1-0
Round 5,39,"FernandoGosch
Marcelo Cruz","Temur Prowess
Mono-Green Harmonizer",FernandoGosch won 2-1-0
Round 5,40,"Xray
Javier Legaspi","Mono-Red Aggro
Temur Prowess",Javier Legaspi won 2-0-0
Round 5,41,"Javier Castellan He/Him
Valeria Aguilar She/Her","Bant Airbending
Mono-Green Landfall",Javier Castellan won 2-1-0
Round 5,42,"DaiH He/Him
Julio Cesar Tadeo Jacinto","Temur Prowess
Mono-Black Midrange",DaiH won 2-1-0
Round 5,43,"franck7 He/Him
cah He/Him","Selesnya Landfall
W-U-R-G Combo",cah won 2-1-0
Round 5,44,"Alejandro Winkler He/Him
Master_Fer He/Him","Izzet Lessons
Mono-Green Combo",Master_Fer won 2-1-0
Round 5,45,"Paper_Mario He/Him
Thressen They/Them","Azorius
Mono-Green Landfall",Thressen won 2-0-0
Round 5,46,"Alejos12 He/Him
RafaelMan He/Him","Dimir Flash
U-B-R-G Elementals",RafaelMan won 2-1-0
Round 5,47,"Marcelino Freeman Other
Angel Geovanni Briones Medina He/Him","Boros Midrange
Dimir Reanimator",Angel Geovanni Briones Medina won 2-0-0
Round 5,48,"Eltatay
Alexander Rosales He/Him","Temur Otters
Simic Rhythm",Alexander Rosales won 2-0-0
Round 5,49,"ISACC1K2
ubwly","Mono-Green Landfall
Izzet Lessons",ISACC1K2 won 2-1-0
Round 5,50,"Tlacaelel Jimenez They/Them
Gamma1001","Grixis
Dimir Midrange",Gamma1001 won 2-0-0
Round 5,51,"MarC101
WilliamEliz He/Him","Rakdos Monument
Mono-Green Harmonizer",MarC101 won 2-0-0
Round 5,52,"Drecko
The_Palolo He/Him","Simic Aggro
Dimir",Drecko won 2-1-0
Round 5,53,"angfe He/Him
Rodolfo Juarez","Izzet Lessons
Dimir Control",angfe won 2-0-0
Round 5,54,"IsaiasCantu
Vi_Rap He/Him","Azorius Tempo
Azorius Flash",Vi_Rap won 2-0-0
Round 5,55,"Javier Calvo He/Him
Pablopga He/Him","Azorius Tempo
Esper Midrange",Pablopga won 2-0-0
Round 5,56,"LiDurden He/Him
SebastianOlivares He/Him","Dimir Excruciator
Dimir Control",LiDurden won 2-0-0
Round 5,57,"AmethMoran
ELWICHOPATO","Temur Prowess
Esper Control",AmethMoran won 1-0-0
Round 5,58,"Vicro He/Him
VicM27 He/Him","Mono-Green Landfall
Naya",Vicro won 2-0-0
Round 5,59,"MTijerina97 He/Him
Bruno Ramírez de Arellano García He/Him","Jeskai Control
Gruul Delirium",Bruno Ramírez de Arellano García won 2-0-0
Round 5,60,"Cristian Ponce
GeekRanor","Simic Rhythm
Golgari Midrange",Cristian Ponce won 2-0-0
Round 5,61,"Jeff2998 He/Him
Rolando Mendez Aguilar He/Him","Izzet Elementals
Dimir Excruciator",Rolando Mendez Aguilar won 2-1-0
Round 5,62,"xmkaj
Eduardo Castillo He/Him","Izzet Lessons
Mono-Green Landfall",Eduardo Castillo won 2-0-0
Round 5,63,"MiguelValdez
rjjwq","Dimir Midrange
Jeskai Control",rjjwq won 2-0-0
Round 5,64,"Raffael11
Luis Mondragón","Orzhov Control
Rakdos Monument",Raffael11 won 2-0-0
Round 5,65,"Tavo110506 He/Him
toxic0 He/Him","Izzet
Dimir Control",Tavo110506 won 2-0-0
Round 5,66,"Phantasmos
ErickPat","Mono-Green Aggro
Dimir Tempo",Phantasmos won 2-0-0
Round 5,67,"RicardoV
Sebastian Senshi Quintana","Gruul Ouroboroid
Simic Rhythm",Sebastian Senshi Quintana won 2-0-0
Round 5,68,"Downpour
hcdxr","Dimir Control
Dimir Excruciator",Downpour won 2-1-0
Round 5,69,"kfbzo
Victor Maya","Abzan Bounce
Izzet Lessons",kfbzo won 2-0-0
Round 5,70,"RicP7 He/Him
Alberto BoLivar","Jeskai Control
Dimir Airbending",Alberto BoLivar won 2-0-0
Round 5,71,"Mortis
Enyal2218 He/Him","U-B-R-G Reanimator
Dimir Midrange",Mortis won 2-0-0
Round 5,72,"RODRIGO SAN JUAN He/Him
Charliezard21","Dimir Combo
Temur",RODRIGO SAN JUAN won 2-0-0
Round 5,73,"reacklml
Arleni","Temur Prowess
Azorius Tempo",reacklml won 2-0-0
Round 5,74,"CrimsonRoyal
daniel isaias He/Him","Esper Midrange
Dimir Tempo",CrimsonRoyal won 2-0-0
Round 5,75,"AAmaya
Soulgreen He/Him","Abzan Midrange
Simic Ouroboroid",AAmaya won 2-0-0
Round 5,76,"Dannog
BERNABE PEREZ POPOCATL He/Him","Izzet Control
Dimir Midrange",Dannog won 2-0-0
Round 5,77,"Jairo04
MConchitaFr","Azorius Control
Jeskai Control",Jairo04 won 2-0-0
Round 5,78,"-Legol4s-
kzeoq","Sultai Reanimator
Mono-Green Landfall",-Legol4s- won 2-0-0
Round 5,79,"Arkstok
Gurgehmorat","Mono-Black Demons
Gruul Delirium",Arkstok won 2-0-0
Round 5,80,"DannLemmon He/Him
Dalibor Trnka He/Him","Izzet Spellementals
Izzet Lessons",DannLemmon won 2-0-0
Round 6,1,"Jorge Lopez He/Him
Edgar Emmanuel Rangel Páez He/Him","Mono-Green Landfall
Dimir Excruciator",Edgar Emmanuel Rangel Páez won 2-1-0
Round 6,2,"GermanBA He/Him
Carlos Martinez He/Him","Temur Prowess
Dimir Midrange",1-1-0 Draw
Round 6,3,"Mario Alejandro Flores Silva He/Him
Rainman Sian He/Him","Dimir Tempo
Dimir Midrange",Rainman Sian won 2-0-0
Round 6,4,"Ivan Martinez He/Him
Jojo-Torres","Simic Ouroboroid
Bant Airbending",Jojo-Torres won 2-1-0
Round 6,5,"Ericksson Moran He/Him
Carlo Alan Chávez García He/Him","Boros Aggro
Jeskai Control",Ericksson Moran won 2-1-0
Round 6,6,"JosueMartil456 He/Him
Archibal Raziel Sánchez Peralta He/Him","Dimir Excruciator
Mono-Green Control",JosueMartil456 won 2-0-0
Round 6,7,"Brian Lopez He/They
Ivan Saenz He/Him","Bant Combo
Mono-Green",Ivan Saenz won 2-1-0
